hour,Tout,Tin,Cooling_Setpoint,Heating_Setpoint,HVAC_kW,Energy_kWh,Cost_USD,Carbon_kgCO2,Carbon_Intensity_g_kWh,Electricity_Rate_USD_kWh,PMV,PPD,Comfort_Category,Comfort_Compliant,Occupants,COP
0,20,21.89,26.5,20.0,0.0,0.0,0.0,0.0,184.1,0.12,-3.0,99.1,Uncomfortable (Out of Bounds),False,0,3.2
1,19,21.69,26.5,20.0,0.0,0.0,0.0,0.0,193.3,0.12,-3.0,99.1,Uncomfortable (Out of Bounds),False,0,3.2
2,18,21.42,26.5,20.0,0.0,0.0,0.0,0.0,176.8,0.12,-3.0,99.1,Uncomfortable (Out of Bounds),False,0,3.2
3,18,21.18,26.5,20.0,0.0,0.0,0.0,0.0,181.5,0.12,-3.0,99.1,Uncomfortable (Out of Bounds),False,0,3.2
4,19,21.05,26.5,20.0,0.0,0.0,0.0,0.0,184.1,0.12,-3.0,99.1,Uncomfortable (Out of Bounds),False,0,3.2
5,21,21.12,26.5,20.0,0.0,0.0,0.0,0.0,186.1,0.12,-3.0,99.1,Uncomfortable (Out of Bounds),False,0,3.2
6,24,21.48,23.5,20.0,0.0,0.0,0.0,0.0,167.5,0.12,-3.0,99.1,Uncomfortable (Out of Bounds),False,0,3.2
7,27,22.4,23.5,20.0,0.0,0.0,0.0,0.0,288.5,0.12,-3.0,99.1,Uncomfortable (Out of Bounds),False,4,3.12
8,29,24.22,23.0,20.0,0.0,0.0,0.0,0.0,296.2,0.22,-3.0,99.1,Uncomfortable (Out of Bounds),False,10,3.04
9,31,22.27,23.0,20.0,3.34,3.341,0.735,1.011,302.7,0.22,-3.0,99.1,Uncomfortable (Out of Bounds),False,10,2.96
10,33,24.8,23.0,20.0,0.0,0.0,0.0,0.0,307.3,0.22,-3.0,99.1,Uncomfortable (Out of Bounds),False,10,2.88
11,35,22.59,23.0,20.0,4.29,4.286,0.943,1.327,309.7,0.22,-3.0,99.1,Uncomfortable (Out of Bounds),False,10,2.8
12,36,25.57,23.0,20.0,0.0,0.0,0.0,0.0,309.7,0.22,-3.0,99.1,Uncomfortable (Out of Bounds),False,10,2.76
13,35,23.39,23.0,20.0,4.29,4.286,0.943,1.317,307.3,0.22,-3.0,99.1,Uncomfortable (Out of Bounds),False,10,2.8
14,34,22.77,23.0,20.0,2.93,2.925,1.024,0.885,302.7,0.35,-3.0,99.1,Uncomfortable (Out of Bounds),False,10,2.84
15,32,25.27,23.0,20.0,0.0,0.0,0.0,0.0,296.2,0.35,-3.0,99.1,Uncomfortable (Out of Bounds),False,10,2.92
16,30,22.43,23.0,20.0,4.0,4.0,1.4,1.154,288.5,0.35,-3.0,99.1,Uncomfortable (Out of Bounds),False,10,3.0
17,28,24.32,24.5,20.0,0.0,0.0,0.0,0.0,450.0,0.35,-3.0,99.1,Uncomfortable (Out of Bounds),False,10,3.08
18,26,25.67,24.5,20.0,0.0,0.0,0.0,0.0,485.4,0.35,-3.0,99.1,Uncomfortable (Out of Bounds),False,10,3.16
19,24,23.64,24.5,20.0,1.77,1.772,0.62,0.886,500.0,0.35,-3.0,99.1,Uncomfortable (Out of Bounds),False,4,3.2
20,23,23.66,24.5,20.0,0.0,0.0,0.0,0.0,485.4,0.35,-3.0,99.1,Uncomfortable (Out of Bounds),False,0,3.2
21,22,23.58,24.5,20.0,0.0,0.0,0.0,0.0,450.0,0.12,-3.0,99.1,Uncomfortable (Out of Bounds),False,0,3.2
22,21,23.42,26.5,20.0,0.0,0.0,0.0,0.0,250.3,0.12,-3.0,99.1,Uncomfortable (Out of Bounds),False,0,3.2
23,20,23.17,26.5,20.0,0.0,0.0,0.0,0.0,250.3,0.12,-3.0,99.1,Uncomfortable (Out of Bounds),False,0,3.2
